language,length,average_word_length,frequency_of_1,frequency_of_0,frequency_of_01,frequency_of_10,frequency_of_11,frequency_of_00,nc,levenshtein,special,classe
"['1000111', '110', '11', '0001011']",4,4.75,1.6842105263157894,2.3157894736842106,0.631578947368421,0.631578947368421,0.42105263157894735,0.8421052631578947,16.0,3.8333333333333335,0.00030600924997843356,True
"['001', '101001', '1']",3,3.33,1.5015015015015014,1.5015015015015014,0.9009009009009009,0.6006006006006006,0.6006006006006006,0.0,9.0,3.3333333333333335,2.925435799120778e-07,True
"['101', '110000', '0101', '1100111', '0100000', '100']",6,5.0,3.4,2.6000000000000005,1.0,1.2,1.2,0.6000000000000001,36.0,3.2666666666666666,0.5355301581512777,True
"['0110100', '010110', '1100111', '101000', '10001', '0100011', '00110']",7,6.14,3.7459283387622158,3.2573289902280136,1.6286644951140068,1.6286644951140068,0.9771986970684041,0.9771986970684041,49.0,3.0,2137.8683443024897,True
"['0111', '0000101', '100', '110010']",4,5.0,2.2,1.7999999999999998,0.8,0.8,0.8,0.4,16.0,3.6666666666666665,0.00048001202229331816,True
"['00011', '110011']",2,5.5,0.9090909090909091,1.0909090909090908,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.5454545454545454,4.0,2.0,5.053655681419542e-07,True
"['00111', '01101', '01000']",3,5.0,1.6,1.4,0.8,0.4,0.4,0.4,9.0,2.6666666666666665,1.0526023026978647e-05,True
"['00000', '1000', '100', '1']",4,3.25,3.076923076923077,0.9230769230769231,0.0,0.6153846153846154,1.2307692307692308,0.0,16.0,2.6666666666666665,1.424590181799336e-07,True
"['010110', '0001000', '101111', '101101', '11100']",5,6.0,2.3333333333333335,2.6666666666666665,1.0,1.1666666666666667,0.5,0.8333333333333333,25.0,3.0,0.3079985202563414,True
"['1111', '110110', '01', '10101']",4,4.25,1.176470588235294,2.823529411764706,0.9411764705882353,0.9411764705882353,0.0,0.9411764705882353,16.0,2.8333333333333335,0.00013501891398228817,True
"['11111', '1001']",2,4.5,0.4444444444444444,1.5555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,4.0,3.0,1.0502453165089994e-06,True
"['1000010', '101', '0101010', '00', '1011', '1001000', '1111']",7,4.86,3.7037037037037037,3.2921810699588474,1.4403292181069958,1.8518518518518516,1.02880658436214,0.6172839506172839,49.0,3.4761904761904763,5.316757639995442,True
"['011', '0001101', '1101']",3,4.67,1.2847965738758031,1.7130620985010707,0.8565310492505354,0.4282655246252677,0.21413276231263384,0.6423982869379015,9.0,3.0,8.824833583603672e-06,True
"['01000', '110', '1000', '01100', '1001']",5,4.2,3.0952380952380953,1.9047619047619047,0.7142857142857142,1.1904761904761905,0.9523809523809523,0.47619047619047616,25.0,1.9,0.0004806063987516514,True
"['000010', '111', '010']",3,4.0,1.75,1.25,0.5,0.5,0.5,0.25,9.0,3.3333333333333335,2.578820183111207e-07,True
"['001', '01', '1100000', '101101', '10', '000']",6,3.83,3.655352480417754,2.3498694516971277,1.0443864229765012,1.0443864229765012,1.0443864229765012,0.5221932114882506,36.0,3.2666666666666666,0.0010459361911707686,True
"['101011', '01', '10110']",3,4.33,1.1547344110854503,1.8475750577367205,0.9237875288683602,0.9237875288683602,0.0,0.4618937644341801,9.0,3.0,7.705958375124779e-06,True
"['0101100', '00', '0100101', '0101110']",4,5.75,2.260869565217391,1.7391304347826086,1.2173913043478262,1.0434782608695652,0.5217391304347826,0.34782608695652173,16.0,3.5,0.0030034582810533,True
"['001110', '1010101', '0000000', '110001', '0110101', '10']",6,5.83,3.430531732418525,2.5728987993138936,1.3722126929674099,1.3722126929674099,0.8576329331046312,0.5145797598627787,36.0,3.8,5.457625027788174,True
"['01', '01000', '11000']",3,4.0,2.0,1.0,0.5,0.5,0.5,0.25,9.0,2.6666666666666665,1.8079470531059212e-06,True
"['000010', '1010']",2,5.0,1.4,0.6000000000000001,0.4,0.6000000000000001,0.4,0.0,4.0,3.0,8.734713523441185e-08,True
"['10', '100000', '0001001']",3,5.0,2.2,0.8,0.4,0.6000000000000001,0.8,0.0,9.0,4.0,2.8407229425680386e-05,True
"['001', '110', '0010111', '1100', '110111']",5,4.6,1.956521739130435,3.0434782608695654,0.8695652173913044,0.8695652173913044,0.6521739130434783,1.0869565217391304,25.0,3.3,0.0015467788414625372,True
"['110110', '00001', '01', '0001101']",4,5.0,2.2,1.7999999999999998,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,16.0,3.5,0.0009206689609292936,True
"['000000', '00101']",2,5.5,1.6363636363636362,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.0,4.0,3.0,1.0398468480287125e-08,True
"['010110', '11010']",2,5.5,0.9090909090909091,1.0909090909090908,0.5454545454545454,0.7272727272727273,0.0,0.36363636363636365,4.0,2.0,1.51817639812192e-06,True
"['1010', '0011001']",2,5.5,1.0909090909090908,0.9090909090909091,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.18181818181818182,4.0,4.0,2.7140002733549392e-06,True
"['0001', '110001', '010', '1010', '1100']",5,4.2,2.857142857142857,2.142857142857143,0.9523809523809523,1.1904761904761905,0.7142857142857142,0.47619047619047616,25.0,2.4,0.00019308541776179872,True
"['0100001', '10011', '1']",3,4.33,1.6166281755196303,1.3856812933025404,0.6928406466512702,0.4618937644341801,0.6928406466512702,0.23094688221709006,9.0,4.333333333333333,2.9822807601463473e-06,True
"['1101010', '10', '11000']",3,4.67,1.4989293361884368,1.498929336188437,0.4282655246252677,1.0706638115631693,0.21413276231263384,0.4282655246252677,9.0,3.3333333333333335,1.8933531408906794e-05,True
"['00010', '0100']",2,4.5,1.5555555555555554,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,4.0,2.0,7.48689730580673e-08,True
"['0100101', '1', '11100']",3,4.33,1.3856812933025404,1.6166281755196303,0.6928406466512702,0.6928406466512702,0.4618937644341801,0.23094688221709006,9.0,4.666666666666667,3.3663308626849517e-06,True
"['001110', '11', '110011', '010', '10001', '1001']",6,4.33,2.771362586605081,3.233256351039261,1.1547344110854503,1.1547344110854503,0.9237875288683602,0.9237875288683602,36.0,3.0,0.010867575975300782,True
"['1111', '00101', '0']",3,3.33,1.2012012012012012,1.8018018018018018,0.6006006006006006,0.3003003003003003,0.3003003003003003,0.6006006006006006,9.0,3.6666666666666665,1.3448685901171347e-06,True
"['1101100', '1', '0001000', '01011', '1100101']",5,5.4,2.592592592592592,2.4074074074074074,1.1111111111111112,1.1111111111111112,0.7407407407407407,0.7407407407407407,25.0,4.1,0.0946716275957385,True
"['10', '000111', '010100', '1']",4,3.75,2.1333333333333333,1.8666666666666667,0.8,0.8,0.5333333333333333,0.26666666666666666,16.0,3.8333333333333335,1.8011187254705327e-05,True
"['0', '1011011']",2,4.0,0.75,1.25,0.5,0.5,0.0,0.5,4.0,6.0,1.8925212634122565e-07,True
"['100001', '00011', '1', '010011']",4,4.5,2.222222222222222,1.7777777777777777,0.8888888888888888,0.4444444444444444,0.8888888888888888,0.4444444444444444,16.0,3.3333333333333335,0.0001410396272323744,True
"['0001', '1000110', '0']",3,4.0,2.0,1.0,0.5,0.5,0.5,0.25,9.0,4.0,5.490391357591602e-07,True
"['00', '1111000', '010', '0011001']",4,4.75,2.3157894736842106,1.6842105263157894,0.631578947368421,0.631578947368421,0.8421052631578947,0.631578947368421,16.0,3.8333333333333335,0.00012806857765006424,True
"['101', '100', '10']",3,2.67,1.4981273408239701,1.4981273408239701,0.37453183520599254,1.1235955056179776,0.37453183520599254,0.0,9.0,1.0,2.4679031859881443e-07,True
"['10011', '011000']",2,5.5,1.0909090909090908,0.9090909090909091,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,4.0,4.0,2.5788201831112068e-06,True
"['0111', '00', '010', '0101101', '11110']",5,4.2,2.142857142857143,2.8571428571428568,1.1904761904761905,0.9523809523809523,0.23809523809523808,0.9523809523809523,25.0,3.0,0.0007712885141595114,True
"['1011110', '110', '000110', '0011001', '000001']",5,5.8,2.7586206896551726,2.241379310344828,0.8620689655172414,0.8620689655172414,0.8620689655172414,0.8620689655172414,25.0,3.6,0.3306389018684883,True
"['00', '11101', '101100', '0110']",4,4.25,1.8823529411764706,2.1176470588235294,0.7058823529411764,0.9411764705882353,0.47058823529411764,0.7058823529411764,16.0,2.6666666666666665,3.161758326116103e-05,True
"['001', '110011', '1101']",3,4.33,1.1547344110854503,1.8475750577367205,0.6928406466512702,0.4618937644341801,0.4618937644341801,0.6928406466512702,9.0,2.3333333333333335,2.569114945862939e-06,True
"['11110', '0000100', '11', '10111']",4,4.75,1.6842105263157894,2.3157894736842106,0.42105263157894735,0.631578947368421,0.631578947368421,0.8421052631578947,16.0,4.0,0.0005117616661041789,True
"['1111', '010']",2,3.5,0.5714285714285714,1.4285714285714284,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,4.0,3.0,2.5372263091900585e-07,True
"['00011', '111100', '1001111', '01111']",4,5.75,1.391304347826087,2.608695652173913,0.5217391304347826,0.34782608695652173,0.5217391304347826,1.2173913043478262,16.0,3.1666666666666665,0.0010759659282949898,True
"['010110', '0110', '11', '0011111', '1001111', '0000111', '1010011', '10110']",8,5.62,3.202846975088968,4.804270462633452,1.6014234875444842,1.4234875444839858,0.8896797153024911,1.7793594306049825,64.0,3.25,6409.968460824311,True
"['1001101', '11', '00', '011110', '01001']",5,4.4,2.2727272727272725,2.727272727272727,1.1363636363636362,0.9090909090909091,0.6818181818181818,0.9090909090909091,25.0,3.6,0.0021201903235845334,True
"['00', '01', '01110', '001110']",4,3.75,2.1333333333333337,1.8666666666666667,0.8,0.5333333333333333,0.5333333333333333,0.5333333333333333,16.0,2.6666666666666665,3.0758669764689315e-06,True
"['0000', '101', '1110000']",3,4.67,1.9271948608137046,1.0706638115631693,0.21413276231263384,0.4282655246252677,0.8565310492505354,0.21413276231263384,9.0,3.6666666666666665,1.042619772956789e-06,True
"['1100', '000', '01101', '0001000']",4,4.75,2.7368421052631575,1.263157894736842,0.631578947368421,0.631578947368421,0.8421052631578947,0.42105263157894735,16.0,3.1666666666666665,0.0004106230421243622,True
"['10111', '01001', '011010', '0']",4,4.25,1.8823529411764706,2.1176470588235294,1.176470588235294,0.9411764705882353,0.23529411764705882,0.47058823529411764,16.0,3.5,9.921386746411551e-05,True
"['01001', '101110', '0011']",3,5.0,1.4,1.6,0.8,0.6000000000000001,0.4,0.4,9.0,3.0,1.380223382950111e-05,True
"['1011111', '011', '010', '110']",4,4.0,1.25,2.75,0.75,0.75,0.0,1.0,16.0,3.0,5.0800677913594714e-05,True
"['1010110', '0', '010000']",3,4.67,1.9271948608137046,1.0706638115631693,0.6423982869379015,0.8565310492505354,0.4282655246252677,0.21413276231263384,9.0,4.666666666666667,1.5284362203558035e-05,True
"['00100', '111', '01010', '100111']",4,4.75,1.894736842105263,2.1052631578947367,0.8421052631578947,0.8421052631578947,0.631578947368421,0.42105263157894735,16.0,3.1666666666666665,8.376070345556081e-05,True
"['00100', '101110', '101']",3,4.67,1.4989293361884368,1.498929336188437,0.6423982869379015,0.8565310492505354,0.4282655246252677,0.21413276231263384,9.0,3.0,3.356625625436684e-06,True
"['1110111', '110011', '111100', '000001', '0100001', '1001110']",6,6.5,2.7692307692307696,3.2307692307692313,0.9230769230769231,0.9230769230769231,1.076923076923077,1.076923076923077,36.0,3.4,356.72749960257056,True
"['111010', '111100', '0011']",3,5.33,1.125703564727955,1.8761726078799248,0.37523452157598497,0.5628517823639775,0.37523452157598497,0.7504690431519699,9.0,3.3333333333333335,8.367994201703058e-05,True
"['10', '01', '1100101', '000']",4,3.5,2.2857142857142856,1.7142857142857142,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.2857142857142857,16.0,3.3333333333333335,1.0423424804639814e-05,True
"['1000011', '1110', '100100', '01', '00100']",5,4.8,2.916666666666667,2.0833333333333335,0.8333333333333334,1.0416666666666667,1.25,0.4166666666666667,25.0,3.4,0.00740467120832949,True
"['0110100', '001010', '01', '10110', '0100', '00010']",6,4.83,3.726708074534161,2.277432712215321,1.656314699792961,1.6563146997929605,0.8281573498964803,0.41407867494824013,36.0,2.6,0.1516699441252854,True
"['10100', '1', '00101', '011', '01010']",5,3.8,2.6315789473684212,2.3684210526315788,1.5789473684210527,1.3157894736842106,0.5263157894736842,0.2631578947368421,25.0,2.7,0.00028055733461797397,True
"['10001', '0']",2,3.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,4.0,4.0,7.070958566595245e-08,True
"['1110', '00', '0010', '100', '110111']",5,3.8,2.3684210526315788,2.6315789473684212,0.5263157894736842,1.0526315789473684,0.7894736842105263,0.7894736842105263,25.0,2.8,0.000382736013415189,True
"['1101100', '00001']",2,6.0,1.1666666666666665,0.8333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,4.0,5.0,7.189501107270518e-06,True
"['100011', '011001', '00', '1011001', '00101', '0100', '011011']",7,5.14,3.6964980544747084,3.3073929961089497,1.9455252918287937,1.3618677042801557,1.1673151750972763,0.972762645914397,49.0,2.8095238095238093,22.581501915451373,True
"['1111', '011']",2,3.5,0.2857142857142857,1.7142857142857142,0.2857142857142857,0.0,0.0,0.8571428571428571,4.0,2.0,2.5580232461506325e-07,True
"['01', '100', '11']",3,2.33,1.2875536480686696,1.7167381974248928,0.4291845493562232,0.4291845493562232,0.4291845493562232,0.4291845493562232,9.0,1.6666666666666667,7.070958566595245e-08,True
"['001', '001100', '1110', '110', '10100', '01111', '000']",7,4.14,3.623188405797102,3.3816425120772946,0.9661835748792271,1.2077294685990339,1.2077294685990339,1.2077294685990339,49.0,2.619047619047619,0.0479302086169268,True
"['00', '10', '1011']",3,2.67,1.4981273408239701,1.4981273408239701,0.37453183520599254,0.7490636704119851,0.37453183520599254,0.37453183520599254,9.0,2.0,5.961788595364618e-08,True
"['01001', '10110', '1101', '0']",4,3.75,1.8666666666666667,2.1333333333333337,1.0666666666666667,1.0666666666666667,0.26666666666666666,0.5333333333333333,16.0,3.1666666666666665,1.0342316750493573e-05,True
"['11011', '111010', '010', '0']",4,3.75,1.6,2.4,0.8,1.0666666666666667,0.0,0.8,16.0,3.1666666666666665,2.97188229166606e-05,True
"['1100110', '11', '10111']",3,4.67,0.8565310492505354,2.1413276231263385,0.4282655246252677,0.6423982869379015,0.21413276231263384,0.8565310492505354,9.0,3.6666666666666665,1.826664296370438e-05,True
"['1000010', '101111', '01', '001001', '10', '010001']",6,4.83,3.3126293995859215,2.691511387163561,1.4492753623188406,1.2422360248447206,1.0351966873706004,0.41407867494824013,36.0,3.6666666666666665,0.19405142785807383,True
"['0110', '0', '101111', '010', '010111']",5,4.0,2.0,3.0,1.25,1.0,0.0,1.0,25.0,3.1,0.00034725144769557877,True
"['1100100', '0111', '01', '0001', '1001011', '1010', '00001']",7,4.71,3.821656050955414,3.184713375796178,1.6985138004246285,1.2738853503184715,1.2738853503184715,0.6369426751592357,49.0,3.0952380952380953,4.005727358193501,True
"['1111', '1000011', '110', '000']",4,4.25,1.8823529411764706,2.1176470588235294,0.23529411764705882,0.47058823529411764,0.7058823529411764,0.9411764705882353,16.0,3.5,0.00013228515661882067,True
"['1110', '1101', '0011000', '1100111', '0001100', '1010', '011000', '1101001']",8,5.75,4.0,3.9999999999999996,1.391304347826087,1.7391304347826086,1.2173913043478262,1.391304347826087,64.0,3.25,33898.66059432623,True
"['1111000', '01100']",2,6.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,4.0,3.0,8.0109801172132e-06,True
"['01', '10']",2,2.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,2.0,1.2478162176344548e-08,True
"['0000010', '1001', '1011']",3,5.0,1.8,1.2000000000000002,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2,9.0,3.3333333333333335,9.247704635135349e-07,True
"['01001', '11000', '0']",3,3.67,1.9073569482288828,1.0899182561307903,0.5449591280653951,0.5449591280653951,0.5449591280653951,0.2724795640326976,9.0,3.3333333333333335,8.651525775598887e-07,True
"['10', '1100', '1110100', '1111']",4,4.25,1.4117647058823528,2.5882352941176467,0.23529411764705882,0.9411764705882353,0.47058823529411764,0.9411764705882353,16.0,3.0,9.564823262222506e-05,True
"['11110', '1000000']",2,6.0,1.1666666666666667,0.8333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,4.0,5.0,8.119124189408187e-06,True
"['10', '011', '010', '111101']",4,3.5,1.4285714285714284,2.571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,16.0,2.6666666666666665,1.0312161191900741e-05,True
"['11011', '11101', '1010', '000110']",4,5.0,1.6,2.4,0.8,1.0,0.2,0.8,16.0,2.6666666666666665,0.0009515409740004181,True
"['111111', '0']",2,3.5,0.2857142857142857,1.7142857142857142,0.0,0.0,0.0,0.8571428571428571,4.0,6.0,2.6204140570323555e-07,True
"['010111', '01', '0001011']",3,5.0,1.4000000000000001,1.6,1.0,0.4,0.2,0.4,9.0,3.6666666666666665,1.6519700259016143e-05,True
"['110', '000110', '00', '101110', '1001100']",5,4.8,2.7083333333333335,2.291666666666667,0.625,1.25,0.8333333333333334,0.8333333333333334,25.0,3.1,0.010635956190337227,True
"['011', '100']",2,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,3.0,5.823142348960789e-08,True
"['11001', '000011']",2,5.5,1.0909090909090908,0.9090909090909091,0.36363636363636365,0.18181818181818182,0.5454545454545454,0.36363636363636365,4.0,3.0,3.333748994780052e-06,True
"['0010100', '1111', '11100']",3,5.33,1.3133208255159474,1.6885553470919326,0.37523452157598497,0.5628517823639775,0.5628517823639775,0.5628517823639775,9.0,3.3333333333333335,1.4901698563483469e-05,True
"['1010', '1000110', '100101', '010011']",4,5.75,2.0869565217391304,1.9130434782608696,1.0434782608695652,1.2173913043478262,0.5217391304347826,0.34782608695652173,16.0,2.6666666666666665,0.005752419245285812,True
"['0001110', '10101', '010011']",3,6.0,1.5,1.5,0.8333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,9.0,3.3333333333333335,4.164240010738984e-05,True
"['011101', '111', '000', '000110']",4,4.5,2.0,1.9999999999999998,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.6666666666666666,16.0,3.3333333333333335,0.00012725021818066565,True
"['0001111', '001', '1010', '010']",4,4.25,2.1176470588235294,1.8823529411764706,0.9411764705882353,0.7058823529411764,0.47058823529411764,0.47058823529411764,16.0,3.1666666666666665,1.619041542380705e-05,True
"['011010', '10001', '00001', '0000010', '000']",5,5.2,3.6538461538461533,1.346153846153846,0.9615384615384615,0.7692307692307692,1.1538461538461537,0.1923076923076923,25.0,2.7,0.023143723222383894,True
"['1000', '110111', '1101']",3,4.67,1.0706638115631693,1.9271948608137046,0.4282655246252677,0.6423982869379015,0.21413276231263384,0.6423982869379015,9.0,2.6666666666666665,1.2596011485787803e-05,True
"['011', '110']",2,3.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,4.0,2.0,6.239081088172275e-08,True
"['001', '1110', '0']",3,2.67,1.4981273408239701,1.4981273408239701,0.37453183520599254,0.37453183520599254,0.37453183520599254,0.37453183520599254,9.0,2.6666666666666665,8.3187747842297e-08,True
"['010110', '00001', '0110', '0011111']",4,5.5,2.0,2.0,0.9090909090909092,0.5454545454545454,0.5454545454545454,0.7272727272727273,16.0,3.1666666666666665,0.0015022033106893511,True
"['110010', '01001', '0101', '110011']",4,5.25,1.9047619047619047,2.095238095238095,1.1428571428571428,0.9523809523809523,0.5714285714285714,0.5714285714285714,16.0,2.0,0.0017136540875422937,True
"['111011', '101', '110', '110010', '00', '01111', '111110']",7,4.43,2.2573363431151248,4.740406320541761,0.9029345372460498,1.3544018058690745,0.4514672686230249,1.8058690744920995,49.0,3.0,1.1909154166350802,True
"['0111', '0000000', '10000', '1000110', '010011', '01011', '011']",7,5.29,4.158790170132325,2.835538752362949,1.3232514177693762,0.945179584120983,1.3232514177693762,0.945179584120983,49.0,3.238095238095238,35.74948804239704,True
"['101011', '11101', '110001', '10110', '1110010', '101001', '1011100', '11011']",8,5.88,3.061224489795918,4.931972789115646,1.7006802721088434,2.2108843537414966,0.6802721088435374,1.3605442176870748,64.0,2.4285714285714284,50226.81057108046,True
"['0101', '010100', '0011', '100']",4,4.25,2.3529411764705883,1.6470588235294117,1.1764705882352942,0.9411764705882353,0.7058823529411764,0.23529411764705882,16.0,2.5,4.528325053795437e-05,True
"['011010', '10', '0']",3,3.0,1.6666666666666665,1.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,9.0,3.3333333333333335,2.9393004237611607e-07,True
"['1001101', '1111101']",2,7.0,0.5714285714285714,1.4285714285714284,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855,4.0,2.0,2.0757422780349156e-05,True
"['0101', '1011', '011011', '10', '000']",5,3.8,2.3684210526315788,2.631578947368421,1.3157894736842106,1.0526315789473684,0.2631578947368421,0.7894736842105263,25.0,2.5,0.00015576739407974427,True
"['1', '1101001', '0110110']",3,5.0,1.2,1.8,0.8,0.8,0.2,0.6000000000000001,9.0,5.0,4.142472550053583e-05,True
"['001', '111', '0011', '0']",4,2.75,1.8181818181818183,2.1818181818181817,0.7272727272727273,0.0,0.7272727272727273,0.7272727272727273,16.0,2.1666666666666665,5.053655681419542e-07,True
"['01', '0100', '0010101', '100', '0101011']",5,4.6,2.8260869565217392,2.1739130434782608,1.7391304347826086,1.3043478260869565,0.6521739130434783,0.2173913043478261,25.0,3.1,0.0021990672823336424,True
"['1111', '110110', '00101', '01110']",4,5.0,1.4,2.6,0.8,0.8,0.2,1.0,16.0,2.6666666666666665,0.0010798913501462982,True
"['00', '001101', '10']",3,3.33,1.8018018018018016,1.2012012012012012,0.6006006006006006,0.6006006006006006,0.6006006006006006,0.3003003003003003,9.0,3.0,7.48689730580673e-08,True
"['0001010', '011010', '1100', '100', '10']",5,4.4,2.954545454545454,2.0454545454545454,0.9090909090909091,1.5909090909090908,0.6818181818181818,0.45454545454545453,25.0,2.8,0.0002839979798687314,True
"['111', '1101011', '0']",3,3.67,0.8174386920980927,2.1798365122615806,0.5449591280653951,0.5449591280653951,0.0,0.8174386920980927,9.0,4.333333333333333,2.781243702860796e-06,True
"['101', '1110', '000101', '001001', '11001', '10']",6,4.33,3.0023094688221708,3.0023094688221708,1.3856812933025404,1.3856812933025404,0.9237875288683602,0.4618937644341801,36.0,2.7333333333333334,0.034193828783476515,True
"['101111', '1']",2,3.5,0.2857142857142857,1.7142857142857144,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,4.0,5.0,1.9757090112545535e-07,True
"['0111', '011', '010000']",3,4.33,1.6166281755196303,1.3856812933025404,0.6928406466512702,0.23094688221709006,0.4618937644341801,0.4618937644341801,9.0,3.0,5.25746566363317e-06,True
"['1010', '0110101', '1', '000001']",4,4.5,2.2222222222222223,1.7777777777777777,1.1111111111111112,0.8888888888888888,0.4444444444444444,0.2222222222222222,16.0,4.0,0.0001774904186431729,True
"['00', '1', '011000']",3,3.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,9.0,3.6666666666666665,1.2200869683536893e-07,True
"['01000', '1110']",2,4.5,1.1111111111111112,0.8888888888888888,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,4.0,3.0,2.9531650484015435e-07,True
"['0111', '01111', '01001', '010000', '10']",5,4.4,2.4999999999999996,2.4999999999999996,1.1363636363636362,0.6818181818181818,0.6818181818181818,0.6818181818181818,25.0,2.9,0.0016306944820984543,True
"['1000010', '100010', '1011', '0']",4,4.5,2.4444444444444446,1.5555555555555554,0.6666666666666666,1.1111111111111112,0.6666666666666666,0.2222222222222222,16.0,3.6666666666666665,0.00014170824875565688,True
"['1100110', '0100']",2,5.5,1.0909090909090908,0.9090909090909092,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.36363636363636365,4.0,4.0,3.402378886749947e-06,True
"['0101', '1110', '00', '1011011', '0011', '100', '11110']",7,4.14,2.898550724637681,4.1062801932367154,1.2077294685990339,1.4492753623188406,0.7246376811594204,1.4492753623188408,49.0,2.761904761904762,0.11735767975680941,True
"['00000', '1110111', '010']",3,5.0,1.6,1.4,0.4,0.4,0.4,0.4,9.0,4.666666666666667,1.3226851906925222e-06,True
"['1111', '01', '1110']",3,3.33,0.6006006006006006,2.4024024024024024,0.3003003003003003,0.3003003003003003,0.0,0.9009009009009009,9.0,2.3333333333333335,1.3725978393979004e-06,True
"['010011', '1001', '0101111', '0']",4,4.5,1.7777777777777777,2.2222222222222223,1.1111111111111112,0.6666666666666666,0.4444444444444444,0.6666666666666666,16.0,3.6666666666666665,8.341859384255936e-05,True
"['1', '1110001']",2,4.0,0.75,1.25,0.25,0.25,0.25,0.25,4.0,6.0,5.012061807498393e-07,True
"['00', '1101100', '1110']",3,4.33,1.3856812933025404,1.6166281755196303,0.23094688221709006,0.6928406466512702,0.4618937644341801,0.6928406466512702,9.0,3.6666666666666665,2.4152176123546892e-06,True
"['01101', '101101', '100111']",3,5.67,1.0582010582010581,1.9400352733686066,0.8818342151675485,0.7054673721340388,0.1763668430335097,0.5291005291005291,9.0,2.0,7.787343721763825e-05,True
"['0111', '0111111', '001001', '01100', '0010111']",5,5.8,2.0689655172413794,2.931034482758621,1.206896551724138,0.5172413793103449,0.6896551724137931,1.0344827586206897,25.0,2.9,0.20916271365421232,True
"['001', '1100', '010', '110101']",4,4.0,2.0,2.0,1.0,1.0,0.5,0.5,16.0,2.5,1.5095456692832818e-05,True
"['100', '01110', '1']",3,3.0,1.3333333333333333,1.6666666666666665,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,9.0,3.0,3.951418022509107e-07,True
"['1100000', '001101', '1111', '0']",4,4.5,2.0,2.0,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888,16.0,4.666666666666667,0.0002049059807914499,True
"['101111', '011']",2,4.5,0.4444444444444444,1.5555555555555556,0.4444444444444444,0.2222222222222222,0.0,0.6666666666666666,4.0,3.0,7.88203910805764e-07,True
"['110100', '01', '0001', '00111', '00001', '10']",6,4.0,3.5,2.5,1.25,0.75,1.25,0.5,36.0,3.066666666666667,0.009498669592213382,True
"['100100', '1000', '000', '010001']",4,4.75,2.9473684210526314,1.0526315789473684,0.631578947368421,0.8421052631578947,1.0526315789473684,0.0,16.0,2.3333333333333335,0.00031094020373178573,True
"['0111', '0101010', '0101', '11', '0001', '0010010']",6,4.67,3.2119914346895078,2.78372591006424,1.9271948608137044,1.284796573875803,0.6423982869379015,0.4282655246252677,36.0,2.8,0.08526244056824664,True
"['1110110', '00', '100100', '010000']",4,5.25,2.4761904761904763,1.5238095238095237,0.5714285714285714,0.9523809523809523,0.9523809523809523,0.38095238095238093,16.0,3.6666666666666665,0.0020127608341435127,True
"['0110', '01100']",2,4.5,1.1111111111111112,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,4.0,1.0,4.2425751399571465e-07,True
"['011', '1011']",2,3.5,0.5714285714285714,1.4285714285714284,0.5714285714285714,0.2857142857142857,0.0,0.5714285714285714,4.0,1.0,1.2270192806738807e-07,True
"['111', '100', '11001', '0']",4,3.0,1.6666666666666665,2.333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,16.0,2.5,4.045004238831691e-06,True
"['0011011', '1000', '0010010', '0101111', '0100', '01011', '0110010', '010010']",8,5.88,4.421768707482993,3.571428571428571,2.2108843537414966,1.8707482993197277,1.1904761904761905,1.0204081632653061,64.0,2.75,15725.828341193259,True
