language,length,average_word_length,frequency_of_1,frequency_of_0,frequency_of_01,frequency_of_10,frequency_of_11,frequency_of_00,entropy,special,classe
"['1100000', '010', '0010111', '0010']",4,5.25,2.4761904761904763,1.5238095238095237,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.38095238095238093,0.8944806657786263,0,0.0016401816288011289,True
"['010010', '001101', '01']",3,4.67,1.7130620985010707,1.2847965738758031,1.0706638115631693,0.6423982869379015,0.4282655246252677,0.21413276231263384,0.9727652780181631,0,6.462301544882438e-06,True
"['0111', '00', '1']",3,2.33,1.2875536480686696,1.7167381974248928,0.4291845493562232,0.0,0.4291845493562232,0.4291845493562232,0.2704260414863776,0,7.902836045018215e-08,True
"['000', '01', '1']",3,2.0,2.0,1.0,0.5,0.0,0.5,0.0,0.3333333333333333,0,4.15938739211485e-09,True
"['00', '10111', '1']",3,2.67,1.1235955056179776,1.8726591760299627,0.37453183520599254,0.37453183520599254,0.37453183520599254,0.37453183520599254,0.24064269829578744,1,6.516373580979932e-08,True
"['001011', '00011', '10', '1']",4,3.5,2.0,1.9999999999999996,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7427376486136672,1,2.958364282641687e-06,True
"['0101101', '1100100', '1101000', '11', '1000111', '10', '0110']",7,5.14,3.3073929961089497,3.6964980544747084,1.3618677042801557,1.7509727626459144,0.7782101167315175,1.1673151750972763,0.8487017920195724,1,14.606614867478292,True
"['110', '110100', '01001', '00000']",4,4.75,2.526315789473684,1.4736842105263157,0.631578947368421,0.8421052631578947,0.8421052631578947,0.42105263157894735,0.7223116071272895,1,0.00046455365905052334,True
"['1001', '000110', '01']",3,4.0,1.75,1.25,0.75,0.5,0.5,0.25,0.9727652780181631,1,3.2290710787451616e-06,True
"['100101', '001', '000101', '00010']",4,5.0,2.6,1.4000000000000001,1.2,0.8,0.8,0.0,0.8896299407490853,1,0.0006326615395839332,True
"['110101', '1000010', '000', '1', '1110', '0010']",6,4.17,3.357314148681055,2.6378896882494005,0.9592326139088729,1.4388489208633095,0.9592326139088729,0.47961630695443647,0.5673287752565644,1,0.0194507387529541,True
"['101001', '110101', '1110', '0101']",4,5.0,1.6,2.4,1.2000000000000002,1.2,0.2,0.4,0.9323934896284056,0,0.0007128576480444516,True
"['1110010', '11101', '00', '1111010']",4,5.25,1.5238095238095237,2.4761904761904763,0.5714285714285714,0.9523809523809523,0.38095238095238093,0.7619047619047619,0.6425691998720613,1,0.0019577674937386663,True
"['0100', '01']",2,3.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.9056390622295665,0,3.5354792832976225e-08,True
"['110', '1110011', '01']",3,4.0,1.0,2.0,0.5,0.5,0.25,0.75,0.9271388008737068,0,4.8983718854472545e-06,True
"['0110100', '1011010']",2,7.0,1.0,1.0,0.5714285714285714,0.7142857142857142,0.14285714285714285,0.2857142857142857,0.9852281360342516,1,1.4029613673603388e-05,True
"['0', '1111000', '11101', '011']",4,4.0,1.5,2.5,0.5,0.5,0.25,1.0,0.6563630162440259,0,3.218845918072879e-05,True
"['0', '011000', '001', '0011100']",4,4.25,2.5882352941176467,1.4117647058823528,0.7058823529411764,0.47058823529411764,0.9411764705882353,0.47058823529411764,0.7054549510358077,0,2.5717492245446117e-05,True
"['000', '1100', '1']",3,2.67,1.8726591760299627,1.1235955056179776,0.0,0.37453183520599254,0.7490636704119851,0.37453183520599254,0.3333333333333333,1,3.466156160095708e-08,True
"['0', '001000', '01010']",3,4.0,2.25,0.75,0.75,0.75,0.5,0.0,0.5403243387010076,1,3.687990154341833e-07,True
"['1001', '000010', '00', '0101']",4,4.0,2.75,1.25,1.0,0.75,1.0,0.0,0.6625056054120886,1,3.8471213836518274e-05,True
"['11011', '10001', '1000011']",3,5.67,1.4109347442680775,1.5873015873015872,0.5291005291005291,0.5291005291005291,0.5291005291005291,0.5291005291005291,0.8927022751254275,1,0.0001564414921297597,True
"['1000', '0011', '010011', '000110', '10']",5,4.4,2.954545454545454,2.0454545454545454,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.6818181818181818,0.9459147917027245,1,0.0017895298403186224,True
"['001', '10']",2,2.5,1.2000000000000002,0.8,0.4,0.4,0.4,0.0,0.9591479170272448,0,1.2478162176344548e-08,True
"['00', '001011', '0111000', '01011', '10']",5,4.4,2.727272727272727,2.2727272727272725,1.1363636363636362,0.9090909090909091,0.6818181818181818,0.6818181818181818,0.7912357460977841,0,0.00015592545080064463,True
"['01111', '000101', '010011', '101101', '1011000', '00000']",6,5.83,3.2590051457975986,2.7444253859348198,1.3722126929674099,1.0291595197255574,0.8576329331046312,0.8576329331046312,0.757291316505099,0,11.227005493691138,True
"['000', '0100', '001000', '11111']",4,4.5,2.4444444444444446,1.5555555555555556,0.4444444444444444,0.4444444444444444,0.8888888888888888,0.4444444444444444,0.3653251365268717,1,8.816861424435452e-06,True
"['100', '0001']",2,3.5,1.4285714285714284,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.0,0.8647869792568113,0,1.3518009024373262e-07,True
"['111', '0100', '10001', '01100']",4,4.25,2.1176470588235294,1.8823529411764706,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.47058823529411764,0.6882948283421175,0,0.00012409532284374654,True
"['100', '0', '0110']",3,2.67,1.8726591760299627,1.1235955056179776,0.37453183520599254,0.7490636704119851,0.37453183520599254,0.37453183520599254,0.6394319446848299,1,1.8578597018112994e-07,True
"['01101', '00111']",2,5.0,0.8,1.2,0.6000000000000001,0.2,0.2,0.4,0.9709505944546686,0,8.797104334322907e-07,True
"['010', '01110', '11100', '111111', '101101', '0010']",6,4.83,2.2774327122153206,3.7267080745341614,1.0351966873706004,1.2422360248447206,0.41407867494824013,1.2422360248447206,0.7649618302462415,0,0.11471458574872426,True
"['00111', '10']",2,3.5,0.8571428571428571,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.9854752972273343,0,6.239081088172275e-08,True
"['00001', '1110011', '00', '10001']",4,4.75,2.3157894736842106,1.6842105263157894,0.631578947368421,0.42105263157894735,1.0526315789473684,0.42105263157894735,0.6389998144771655,0,3.236107375750156e-05,True
"['0101', '0', '0011100', '11110', '10111']",5,4.4,2.0454545454545454,2.9545454545454546,0.9090909090909091,0.9090909090909091,0.45454545454545453,0.9090909090909091,0.6858168651617952,1,0.0011150277751411884,True
"['0110000', '10001', '10111', '001001']",4,5.75,2.260869565217391,1.7391304347826086,0.8695652173913043,0.6956521739130435,0.8695652173913043,0.34782608695652173,0.8685737729907879,0,0.0033088186665985635,True
"['0010111', '00']",2,4.5,1.1111111111111112,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.4926140680171258,0,1.9133182003728307e-07,True
"['0', '00111', '0011']",3,3.33,1.5015015015015014,1.5015015015015014,0.6006006006006006,0.0,0.6006006006006006,0.6006006006006006,0.6569835314848895,1,1.5944318336440258e-07,True
"['1110010', '01010']",2,6.0,1.0,1.0,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.9780893652444601,0,7.6075195401780605e-06,True
"['11011', '100001']",2,5.5,0.9090909090909092,1.0909090909090908,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.8201119644709259,0,3.6623405987571252e-06,True
"['001100', '1110001', '111001']",3,6.33,1.4218009478672986,1.5797788309636651,0.47393364928909953,0.47393364928909953,0.631911532385466,0.47393364928909953,0.9406066013810769,0,0.00014640073096519444,True
"['111', '01011']",2,4.0,0.5,1.5,0.5,0.25,0.0,0.5,0.4854752972273343,0,4.887280185734948e-07,True
"['0', '11101', '01011']",3,3.67,1.0899182561307903,1.907356948228883,0.8174386920980927,0.5449591280653951,0.0,0.5449591280653951,0.5642928964473436,1,1.3018882537319479e-06,True
"['0000000', '0100', '0010100']",3,6.0,2.5,0.5,0.5,0.5,1.0,0.0,0.5581328976752546,1,7.375980308683666e-07,True
"['1011100', '1']",2,4.0,0.75,1.25,0.25,0.5,0.25,0.25,0.4926140680171258,1,3.847433337706236e-07,True
"['101', '0111']",2,3.5,0.5714285714285714,1.4285714285714284,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857,0.8647869792568113,1,1.8093335155699595e-07,True
"['111100', '1000010', '1011100', '110110', '101']",5,5.8,2.2413793103448274,2.7586206896551726,0.6896551724137931,1.3793103448275863,0.6896551724137931,0.8620689655172414,0.9206472413528702,0,0.42233537539843813,True
"['010', '111', '10011', '0000', '01']",5,3.4,2.6470588235294117,2.352941176470588,0.8823529411764706,0.5882352941176471,0.8823529411764706,0.5882352941176471,0.5778492857018316,0,4.019715163487633e-05,True
"['11110', '11011', '0101011', '101110', '0101', '11100', '0010']",7,5.14,2.7237354085603114,4.280155642023346,1.556420233463035,1.7509727626459144,0.38910505836575876,1.3618677042801557,0.8756584112538953,0,39.37120009152554,True
"['100101', '100', '0101010']",3,5.33,1.6885553470919326,1.3133208255159474,0.9380863039399625,1.125703564727955,0.37523452157598497,0.0,0.9678413233629137,1,5.329839004255968e-05,True
"['0001', '1']",2,2.5,1.2,0.8,0.4,0.0,0.4,0.0,0.4056390622295664,0,6.239081088172274e-09,True
"['1001', '1101101', '00001', '0001010']",4,5.75,2.260869565217391,1.7391304347826086,1.0434782608695652,0.8695652173913043,0.6956521739130435,0.34782608695652173,0.8620423080051561,0,0.0053710107003568175,True
"['101001', '1001010', '111', '00', '11011', '001']",6,4.33,2.771362586605081,3.2332563510392607,1.3856812933025404,1.3856812933025404,0.9237875288683602,0.6928406466512702,0.6042420108293506,0,0.030228492757522162,True
"['001', '111', '11101']",3,3.67,0.8174386920980927,2.1798365122615806,0.5449591280653951,0.2724795640326976,0.2724795640326976,0.5449591280653951,0.546741309647284,0,7.057093941954862e-07,True
"['0110000', '00', '11111']",3,4.67,1.498929336188437,1.498929336188437,0.21413276231263384,0.21413276231263384,0.6423982869379015,0.6423982869379015,0.287706856188877,1,8.561405715436399e-06,True
"['0110111', '0000', '11011', '1']",4,4.25,1.6470588235294117,2.3529411764705883,0.7058823529411764,0.47058823529411764,0.47058823529411764,0.9411764705882353,0.39626216586349833,0,5.8621366057618665e-05,True
"['010', '10']",2,2.5,1.2000000000000002,0.8,0.4,0.8,0.0,0.0,0.9591479170272448,0,2.079693696057425e-08,True
"['0100', '0101', '11100', '101', '001']",5,3.8,2.631578947368421,2.3684210526315788,1.3157894736842104,1.0526315789473684,0.7894736842105263,0.2631578947368421,0.9237640774045561,1,0.00011907910164885603,True
"['0110011', '0100111', '1']",3,5.0,1.2,1.8,0.8,0.4,0.4,0.6000000000000001,0.6568187573561678,1,1.821118446514285e-05,True
"['1100', '10111', '10001', '10']",4,4.0,1.75,2.25,0.5,1.0,0.5,0.5,0.9232196723355077,1,5.4244650674265815e-05,True
"['0', '010001', '1110', '00001']",4,4.0,2.5,1.5,0.75,0.5,0.75,0.25,0.6128755133502461,0,9.517718200006805e-06,True
"['00101', '110010', '001', '010011', '1010010', '001111', '11010', '001101', '101111']",9,5.56,4.136690647482014,4.85611510791367,2.3381294964028783,1.9784172661870505,1.2589928057553958,1.4388489208633095,0.9348603794112135,1,94048.12167623377,True
"['1001', '0010', '1']",3,3.0,1.6666666666666665,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.603759374819711,0,4.0623350196321696e-07,True
"['100', '111', '000', '0100001', '101', '0011100']",6,4.33,3.4642032332563506,2.540415704387991,0.9237875288683602,0.9237875288683602,1.3856812933025404,0.4618937644341801,0.614156728784977,1,0.028373208409737814,True
"['11010', '111', '1010000', '01']",4,4.25,1.8823529411764706,2.1176470588235294,0.7058823529411764,0.9411764705882353,0.47058823529411764,0.47058823529411764,0.7085177907553248,1,0.00011480013186921788,True
"['100', '10100', '0001110', '0000010', '0110']",5,5.2,3.2692307692307687,1.7307692307692306,0.7692307692307692,1.1538461538461537,0.9615384615384615,0.3846153846153846,0.8932294686251474,1,0.03229849327855475,True
"['1011000', '1101']",2,5.5,0.9090909090909092,1.0909090909090908,0.36363636363636365,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.8982531302466923,0,2.9552447420976006e-06,True
"['1100000', '011', '001', '00111', '010101']",5,4.8,2.7083333333333335,2.291666666666667,1.25,0.625,0.8333333333333334,0.625,0.9341325662260557,1,0.010510423383210767,True
"['110', '0111']",2,3.5,0.5714285714285714,1.4285714285714284,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.8647869792568113,1,2.1420845069391475e-07,True
"['1110', '0000001', '111', '10100']",4,4.75,2.1052631578947367,1.894736842105263,0.42105263157894735,0.631578947368421,0.8421052631578947,0.42105263157894735,0.5934753743740322,1,0.00047755174465088224,True
"['10011', '10', '1']",3,2.67,1.1235955056179776,1.8726591760299627,0.37453183520599254,0.7490636704119851,0.37453183520599254,0.37453183520599254,0.6569835314848895,1,2.1767460685401046e-07,True
"['110000', '1101001', '11011', '011', '0000101', '11010']",6,5.5,2.909090909090909,3.090909090909091,1.2727272727272727,1.272727272727273,0.9090909090909091,1.090909090909091,0.8963031770086488,1,4.543055270521981,True
"['0000111', '111111', '000011', '01010']",4,6.0,1.8333333333333333,2.1666666666666665,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.7186186411358524,1,0.0010883390659396834,True
"['01001', '011']",2,4.0,1.0,1.0,0.75,0.25,0.25,0.25,0.9446232142545791,0,1.5597702720430687e-07,True
"['101001', '011', '00', '001010']",4,4.25,2.352941176470588,1.6470588235294117,1.176470588235294,0.9411764705882353,0.7058823529411764,0.23529411764705882,0.7091479170272448,1,8.812286098304126e-05,True
"['111011', '01']",2,4.0,0.5,1.5,0.5,0.25,0.0,0.5,0.825011210824177,0,4.928874059656096e-07,True
"['100101', '11011', '100001', '1', '0011001', '11100']",6,5.0,2.8000000000000003,3.1999999999999997,1.2000000000000002,1.2,1.2,0.8,0.7660671099051287,0,0.440332179214249,True
"['01011', '10111', '1']",3,3.67,0.8174386920980927,2.1798365122615806,0.8174386920980927,0.5449591280653951,0.0,0.5449591280653951,0.5642928964473436,0,1.0412333104927506e-06,True
"['0000', '000111']",2,5.0,1.4,0.6,0.2,0.0,0.6000000000000001,0.2,0.5,1,1.4557855872401973e-08,True
"['1100100', '0011']",2,5.5,1.0909090909090908,0.9090909090909091,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.9926140680171258,1,3.333748994780052e-06,True
"['0110110', '001110', '0001101']",3,6.67,1.4992503748125938,1.4992503748125938,0.7496251874062969,0.5997001499250375,0.29985007496251875,0.5997001499250375,0.990152090689501,0,0.0006158291920392763,True
"['01101', '101', '111', '1000011']",4,4.5,1.5555555555555554,2.444444444444444,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.7186186411358524,1,0.00011706491830422441,True
"['0000000', '101101', '1']",3,4.67,1.9271948608137044,1.0706638115631693,0.4282655246252677,0.4282655246252677,0.6423982869379015,0.21413276231263384,0.3060986113514965,1,1.2616808422748378e-07,True
"['0111001', '0110110', '1001011', '1000', '011000', '011010', '010011', '0', '101']",9,5.22,4.597701149425287,4.406130268199234,2.2988505747126435,2.10727969348659,0.9578544061302683,1.3409961685823757,0.8448393556300964,1,29180.915951558905,True
"['10100', '000000', '001001']",3,5.67,2.2927689594356258,0.7054673721340388,0.5291005291005291,0.5291005291005291,1.0582010582010581,0.0,0.6297488095030527,0,0.0001135914832161925,True
"['0100000', '10', '011']",3,4.0,2.0,1.0,0.5,0.5,0.5,0.25,0.8366562042122724,0,1.4460803499919294e-06,True
"['1011', '111100']",2,5.0,0.6000000000000001,1.4,0.2,0.4,0.2,0.6000000000000001,0.8647869792568113,1,1.5888859837878726e-06,True
"['100', '0111', '0011', '1010100']",4,4.5,2.0,2.0,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.9287005236369685,1,0.00015168869880303646,True
"['1001', '011011', '1010101']",3,5.67,1.2345679012345678,1.763668430335097,1.0582010582010581,0.8818342151675485,0.1763668430335097,0.3527336860670194,0.9678413233629137,0,0.0001071305681337741,True
"['01111', '0100', '1']",3,3.33,1.2012012012012012,1.8018018018018016,0.6006006006006006,0.3003003003003003,0.3003003003003003,0.6006006006006006,0.511068739782165,0,6.779801449147205e-07,True
"['11010', '10111', '111001']",3,5.33,0.9380863039399625,2.0637898686679175,0.5628517823639775,0.7504690431519699,0.18761726078799248,0.5628517823639775,0.8703915077988401,1,7.594625439262504e-05,True
"['000', '10100', '01']",3,3.33,2.1021021021021022,0.9009009009009009,0.6006006006006006,0.6006006006006006,0.6006006006006006,0.0,0.6569835314848895,1,1.1230345958710094e-07,True
"['001', '1111011', '0000', '0010101']",4,5.25,2.095238095238095,1.9047619047619047,0.9523809523809523,0.5714285714285714,0.7619047619047619,0.5714285714285714,0.6237991871677672,0,0.0005345530293192722,True
"['100', '110111', '1100', '1010011']",4,5.0,1.6,2.4000000000000004,0.6000000000000001,1.0,0.6000000000000001,0.8,0.8883865979342738,0,0.0006639910852681902,True
"['1101100', '100', '111', '011110', '10101', '001']",6,4.5,2.4444444444444446,3.5555555555555554,1.1111111111111112,1.3333333333333333,0.6666666666666666,1.1111111111111112,0.7851777054420648,0,0.07895420758498675,True
"['100', '11', '1010101', '001101', '0010']",5,4.4,2.4999999999999996,2.4999999999999996,1.3636363636363635,1.3636363636363635,0.6818181818181818,0.45454545454545453,0.7429604189095749,1,0.002144262362177659,True
"['001100', '001', '11', '11110']",4,4.0,1.75,2.25,0.5,0.5,0.75,1.0,0.6396299407490853,1,1.304175916797611e-05,True
"['01001', '010101']",2,5.5,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.5454545454545454,0.18181818181818182,0.0,0.9854752972273343,1,1.2415771365462826e-06,True
"['010', '11110']",2,4.0,0.75,1.25,0.25,0.5,0.0,0.5,0.8201119644709259,1,1.9549120742939792e-07,True
"['11101', '0100001', '110', '001', '11110']",5,4.6,2.173913043478261,2.8260869565217392,0.8695652173913044,0.8695652173913044,0.6521739130434783,0.8695652173913044,0.828713685290067,1,0.006381629949119878,True
"['110', '10110', '1100000', '01']",4,4.25,2.1176470588235294,1.8823529411764706,0.47058823529411764,0.9411764705882353,0.47058823529411764,0.7058823529411764,0.9380917492689473,0,0.00011433428048130102,True
"['0100', '00', '110111', '100111', '001011', '10101', '000110']",7,5.0,3.4000000000000004,3.6,1.5999999999999999,1.4000000000000001,1.0,1.0,0.7526918298101621,0,5.381322545435276,True
"['00111', '10001']",2,5.0,1.0,1.0,0.4,0.2,0.4,0.2,0.9709505944546686,1,5.012061807498393e-07,True
"['01111', '111', '000', '11110', '0001011']",5,4.6,1.956521739130435,3.0434782608695654,0.6521739130434783,0.4347826086956522,0.4347826086956522,1.3043478260869565,0.48581686516179523,0,0.0034650916342158196,True
"['0100', '00100', '110', '1111011', '0000', '101100']",6,4.83,3.312629399585921,2.691511387163561,0.8281573498964803,1.2422360248447204,1.2422360248447206,1.0351966873706004,0.6738624719972187,1,0.09658406705620161,True
"['0', '1001000', '111']",3,3.67,1.6348773841961854,1.3623978201634879,0.2724795640326976,0.5449591280653951,0.5449591280653951,0.2724795640326976,0.287706856188877,1,8.083076165343191e-07,True
"['0', '101000']",2,3.5,1.4285714285714284,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.4591479170272448,0,8.3187747842297e-08,True
"['1110011', '011']",2,5.0,0.6000000000000001,1.4,0.4,0.2,0.2,0.6000000000000001,0.8907082013105603,1,1.919557281461003e-06,True
"['1101', '00001']",2,4.5,1.1111111111111112,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.7666031096732475,0,8.672322712559461e-07,True
"['1110100', '0101011', '10000', '100000', '10010']",5,6.0,3.0,2.0,0.8333333333333333,1.3333333333333333,0.9999999999999999,0.3333333333333333,0.8626714766117777,0,0.8118545086220357,True
"['101', '10000', '1']",3,3.0,1.6666666666666665,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.546741309647284,0,4.89421249805514e-07,True
"['0110111', '101', '11']",3,4.0,0.75,2.25,0.75,0.5,0.0,0.75,0.5938054675403736,1,2.472062573380259e-06,True
"['10001', '110001', '1011', '0111100', '110', '11001']",6,5.0,2.6,3.4000000000000004,1.0,1.2,0.8,1.2,0.942783880576202,1,0.4135065242625524,True
"['111', '0111110']",2,5.0,0.4,1.6,0.2,0.2,0.0,0.6000000000000001,0.4315602842833155,0,1.992346560823013e-06,True
"['1011100', '0100000', '000', '010111', '011', '10100', '0011', '11110']",8,5.0,4.2,3.8,1.4,1.4000000000000001,1.2,1.2000000000000002,0.7632964090084486,1,412.0000802584993,True
"['0010', '11111']",2,4.5,0.6666666666666666,1.3333333333333335,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.4056390622295664,0,1.9757090112545535e-07,True
"['1101001', '1', '0110']",3,4.0,1.25,1.75,0.75,0.75,0.25,0.5,0.6617427120114172,1,4.6890160533774735e-06,True
"['1100', '111101']",2,5.0,0.6000000000000001,1.4,0.2,0.4,0.2,0.6000000000000001,0.825011210824177,1,1.7240660740316052e-06,True
"['11', '00011', '1001', '001', '111101']",5,4.0,2.0,3.0,1.0,0.5,0.75,1.0,0.7078537700315024,0,0.0006785965661262319,True
"['100', '0100110', '111', '1010', '1001011']",5,4.8,2.291666666666667,2.7083333333333335,1.0416666666666667,1.4583333333333335,0.625,0.625,0.7777504212245986,1,0.007509267323079001,True
"['100', '1110', '10']",3,3.0,1.3333333333333333,1.6666666666666665,0.0,1.0,0.3333333333333333,0.3333333333333333,0.9098579861712075,1,4.353492137080209e-07,True
"['010', '101000', '011', '01011', '11110']",5,4.4,2.2727272727272725,2.727272727272727,1.1363636363636362,1.1363636363636362,0.22727272727272727,0.9090909090909091,0.8895532383010998,0,0.0011477496757549559,True
"['00', '10', '011110', '0001', '101101', '10111']",6,4.17,2.6378896882494005,3.3573141486810556,1.1990407673860912,1.1990407673860912,0.47961630695443647,0.9592326139088729,0.7282996479092457,0,0.0035915304945625297,True
"['100100', '1001111', '0110']",3,5.67,1.4109347442680775,1.5873015873015874,0.5291005291005291,0.7054673721340388,0.5291005291005291,0.5291005291005291,0.9271388008737068,1,0.00010398191187794317,True
"['00010', '0010111', '10']",3,4.67,1.7130620985010707,1.2847965738758031,0.6423982869379015,0.6423982869379015,0.4282655246252677,0.21413276231263384,0.9023854103072045,0,1.5500650347948007e-06,True
"['110', '0001001', '1000111', '1']",4,4.5,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.691661134663843,1,0.00020698671433435535,True
"['100', '00', '1011100', '1101110', '0011', '1111011']",6,5.0,2.4,3.5999999999999996,0.8,1.2,0.8,1.4,0.7263862195396166,0,0.38905103590513523,True
"['10', '01100']",2,3.5,1.1428571428571428,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.9854752972273343,1,1.580567209003643e-07,True
"['1110010', '1101011', '11111', '10101', '0110']",5,5.6,1.6071428571428572,3.392857142857143,1.0714285714285714,1.25,0.17857142857142858,1.0714285714285714,0.7638598598111102,1,0.20035322349611318,True
"['01110', '1111', '011']",3,4.0,0.75,2.25,0.5,0.25,0.0,1.0,0.6297488095030527,1,2.655075618633312e-06,True
"['1101', '000000', '010010', '11100', '0010011', '001']",6,5.17,3.67504835589942,2.3210831721470018,1.160541586073501,0.9671179883945842,1.5473887814313347,0.5802707930367506,0.7673414205095055,0,1.209999839031708,True
"['100', '1111010', '1', '011010', '110']",5,4.0,2.0,3.0,0.75,1.5,0.25,1.0,0.739942447335122,0,0.000540672112081182,True
"['01011', '0', '001', '1101101', '1101111']",5,4.6,1.7391304347826089,3.2608695652173916,1.3043478260869565,0.8695652173913044,0.2173913043478261,1.3043478260869565,0.6688079551316234,1,0.0024241167603263657,True
"['001101', '0101011', '00', '1']",4,4.0,2.0,2.0,1.25,0.75,0.5,0.5,0.4963070340085629,0,1.4201188403528125e-05,True
"['1001', '1111', '101101']",3,4.67,0.8565310492505354,2.1413276231263385,0.6423982869379015,0.6423982869379015,0.21413276231263384,0.6423982869379015,0.6394319446848299,0,1.4171032844935293e-05,True
"['01110', '0011', '00']",3,3.67,1.6348773841961854,1.3623978201634879,0.5449591280653951,0.2724795640326976,0.5449591280653951,0.5449591280653951,0.6569835314848895,1,1.2589079173467613e-06,True
"['000', '1101']",2,3.5,1.1428571428571428,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4056390622295664,1,2.703601804874652e-08,True
"['0000', '0011']",2,4.0,1.5,0.5,0.25,0.0,0.75,0.25,0.5,0,6.239081088172274e-09,True
"['00', '1111101']",2,4.5,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.29583638929116374,0,2.599617120071781e-07,True
"['111100', '10']",2,4.0,0.75,1.25,0.0,0.5,0.25,0.5,0.9591479170272448,1,5.032858744458968e-07,True
"['0', '1001110', '00011']",3,4.33,1.6166281755196303,1.3856812933025404,0.4618937644341801,0.4618937644341801,0.4618937644341801,0.4618937644341801,0.6520595768296401,0,3.4647696976316697e-06,True
"['1011110', '10110']",2,6.0,0.6666666666666666,1.3333333333333335,0.3333333333333333,0.6666666666666666,0.0,0.5,0.9170355815106498,0,6.301471899053997e-06,True
"['0000110', '0010111', '00', '101000', '0001100']",5,5.8,3.2758620689655173,1.7241379310344829,0.8620689655172414,0.8620689655172414,1.206896551724138,0.5172413793103449,0.7259530214444007,0,0.021566107514673694,True
"['00', '10']",2,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.5,1,4.15938739211485e-09,True
"['101', '0011011', '000', '0100111', '111111', '00110', '10']",7,4.71,2.9723991507430996,4.033970276008493,1.2738853503184715,1.0615711252653928,0.8492569002123143,1.48619957537155,0.6942432429396659,1,3.3248533212833107,True
"['11', '1111000', '0011111', '00110', '10']",5,4.6,1.9565217391304348,3.0434782608695654,0.4347826086956522,0.6521739130434783,0.6521739130434783,1.3043478260869565,0.7638598598111102,0,0.006872580744315719,True
"['0010111', '1010', '01110', '10100', '01']",5,4.6,2.391304347826087,2.608695652173913,1.3043478260869568,1.3043478260869565,0.4347826086956522,0.4347826086956522,0.9854258649887179,0,0.0012895440238296296,True
"['00', '001110', '000110']",3,4.67,1.9271948608137046,1.0706638115631693,0.4282655246252677,0.4282655246252677,0.6423982869379015,0.4282655246252677,0.6394319446848299,1,1.2505891425625315e-06,True
"['1100110', '000010']",2,6.5,1.2307692307692308,0.7692307692307693,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.8176252788413029,1,1.3580399835254985e-05,True
"['0', '0101001', '1110', '010101']",4,4.5,2.0,2.0,1.3333333333333333,1.1111111111111112,0.2222222222222222,0.2222222222222222,0.6991265651233461,1,4.4610469627279795e-05,True
"['1000', '01111', '11000']",3,4.67,1.4989293361884368,1.498929336188437,0.21413276231263384,0.4282655246252677,0.4282655246252677,0.6423982869379015,0.8347189379337211,1,1.205667758727691e-05,True
"['01111', '10110']",2,5.0,0.6000000000000001,1.4,0.4,0.4,0.0,0.6000000000000001,0.8464393446710154,1,1.0440062354208273e-06,True
"['10110', '111', '0100000', '1110', '000011', '101111']",6,5.17,2.7079303675048356,3.288201160541586,0.7736943907156674,0.9671179883945842,0.7736943907156674,1.160541586073501,0.657036625533162,1,1.0656835753528346,True
"['001', '011', '01011']",3,3.67,1.3623978201634879,1.6348773841961854,1.0899182561307903,0.2724795640326976,0.2724795640326976,0.5449591280653951,0.9358474208545493,0,5.032858744458968e-07,True
